,ID,acq-AP_run-01,acq-PA_run-01,acq-AP_run-02,acq-PA_run-02
0,010001,0.521203,0.53072,0.53839,0.527229
1,010002,0.585527,0.591196,0.575511,0.531856
2,010004,0.352832,0.377154,0.37007,0.364764
3,010005,0.343578,0.385354,0.346597,0.355758
4,010006,0.59515,0.652066,0.60328,0.645767
5,010007,0.37004,0.425194,0.389279,0.395952
6,010008,0.425633,0.455479,0.420793,0.418224
7,010009,0.328955,0.350365,0.335601,0.34074
8,010011,0.337324,0.389457,0.319133,0.344334
9,010014,0.368305,0.35689,0.379478,0.366795
10,010015,0.526772,0.554487,0.529226,0.530422
11,010016,0.4095,0.430635,0.426788,0.441687
12,010017,0.448336,0.477451,0.453704,0.440447
13,010018,0.425481,0.456975,0.423213,0.452624
14,010020,0.317533,0.350705,0.319855,0.347433
15,010021,0.457876,0.485199,0.447069,0.440067
16,010022,0.486313,0.546591,0.507257,0.514704
17,010023,0.404604,0.483314,0.434594,0.463409
18,010024,0.479567,0.530138,0.457715,0.471582
19,010026,0.472516,0.476586,0.465496,0.469064
20,010027,0.387966,0.41919,0.367034,0.38955
21,010029,0.364386,0.428951,0.375582,
22,010030,0.422082,0.493167,0.438962,0.418616
23,010031,0.302206,0.31924,0.306458,0.29728
24,010032,0.486343,0.573578,0.500201,0.534913
25,010033,0.340943,0.376213,0.352037,0.356209
26,010034,0.369023,0.377233,0.360361,0.363384
27,010035,0.32086,0.386787,0.338011,0.33953
28,010036,0.335595,0.350187,0.33433,0.33417
29,010037,0.402594,0.441957,0.401933,0.406273
30,010038,0.432089,0.450396,0.437633,0.44334
31,010040,0.449725,0.482998,0.446247,0.444546
32,010041,0.460368,0.477295,0.462329,0.44832
33,010042,0.329235,0.332982,0.344983,0.312924
34,010044,0.596121,0.591754,0.620614,0.57775
35,010045,0.333891,0.368704,0.335405,0.344203
36,010046,0.298071,0.302528,0.293369,0.279939
37,010048,0.471501,0.488298,0.460494,0.486973
38,010050,0.368375,0.470106,0.393681,0.402282
39,010051,0.3189,0.33761,0.307299,0.319886
40,010052,0.522162,0.546114,0.546643,0.521906
41,010054,0.491472,0.48071,0.473472,0.461441
42,010056,0.398085,0.406052,0.434798,0.402871
43,010058,0.349506,0.422771,0.376564,0.390501
44,010059,0.417991,0.450714,0.409343,0.437044
45,010060,0.374899,0.401324,0.378642,0.401843
46,010061,0.428578,0.472525,0.451833,0.425779
47,010062,0.390138,0.429207,0.396768,0.418205
48,010064,0.339339,0.369961,0.356487,0.333751
49,010065,0.366831,0.398872,0.380619,0.373661
50,010067,0.303976,0.329483,0.313127,0.327797
51,010068,0.386245,0.366714,0.375072,0.362799
52,010069,0.443358,0.491219,0.476801,0.456202
53,010071,0.319052,0.301679,0.322014,0.313703
54,010072,0.360494,0.417297,0.361204,0.376607
55,010073,0.356792,0.37366,0.385854,0.357085
56,010074,0.405341,0.423611,0.398067,0.403348
57,010075,0.451541,0.53137,0.421119,0.402289
58,010076,0.372668,0.440503,0.393021,0.359849
59,010077,0.445233,0.458291,0.445237,0.409032
60,010078,0.383368,0.435635,0.411386,0.415189
61,010079,0.416364,0.463246,0.435903,0.427391
62,010080,0.394287,0.396725,0.375904,0.369678
63,010081,0.461981,,,
64,010082,0.548251,0.613286,0.44009,0.477634
65,010083,0.455265,0.519123,0.468328,
66,010084,0.482337,0.537181,0.489155,0.492569
67,010086,0.496191,0.511065,0.509566,0.506729
68,010087,0.432598,0.472835,,
69,010088,0.368115,0.37696,0.376368,0.387295
70,010090,0.350041,0.385674,0.388477,0.388432
71,010091,0.524927,0.616722,0.569155,0.553862
72,010092,0.579291,0.556835,0.564872,0.556886
73,010093,0.47988,0.467794,0.500658,0.452251
74,010094,0.34705,0.371382,0.336418,0.361775
75,010096,0.39852,0.403808,0.422714,0.398604
76,010097,0.503172,0.50696,0.487277,0.483205
77,010098,0.476524,0.526216,0.486372,0.514029
78,010099,0.39396,0.391521,0.415962,0.370696
79,010101,0.420525,0.467969,0.438628,0.460579
80,010102,0.333576,0.323096,0.330846,0.31583
81,010103,0.370337,0.395274,0.378609,0.371989
82,010105,0.420694,0.458531,0.411906,0.454754
83,010106,0.361786,0.377378,0.347201,0.365261
84,010107,0.380472,0.420393,0.379469,0.396712
85,010108,0.349163,0.372153,0.358577,0.34145
86,010109,0.455761,0.458153,0.443478,0.44394
87,010111,0.339759,0.381795,0.342396,0.36542
88,010112,0.348883,0.414185,0.355053,0.389825
89,010113,0.396512,0.457405,0.401481,0.441384
90,010114,0.554385,0.596866,0.551401,0.57301
91,010115,0.432314,0.480403,0.442662,0.457489
92,010116,0.350725,0.387559,0.374161,0.376051
93,010117,0.485547,0.539863,0.526249,0.535828
94,010118,0.396519,0.436771,0.407862,0.396975
95,010119,0.322248,0.33946,0.315074,0.303404
96,010120,0.318952,0.359218,0.378903,0.362229
97,010121,0.426916,0.454773,0.432528,0.423953
98,010122,0.426833,0.491291,0.45315,0.454137
99,010123,0.410737,0.441287,0.417606,0.421249
100,010124,0.342398,0.387715,0.354817,0.387802
101,010125,0.356603,0.382378,0.333804,0.347821
102,010126,0.293156,0.324896,0.296158,0.312361
103,010127,0.501857,0.548687,0.509407,0.534941
104,010128,0.412597,0.424566,0.400271,0.431336
105,010129,0.3292,0.368507,0.341389,0.341855
106,010130,0.374221,0.402038,0.35064,0.392902
107,010131,0.350949,0.360631,0.339176,0.346011
108,010132,0.313067,0.342051,0.32209,0.313213
109,010133,0.444034,0.474904,0.458702,
110,010135,0.365161,0.421668,0.387405,0.38321
111,010136,0.297927,0.288893,0.293052,0.294804
112,010137,0.395694,0.410657,0.423584,0.380603
113,010138,0.353941,0.392908,0.366191,0.392905
114,010139,0.330184,0.339877,0.32357,0.327192
115,010140,0.363018,0.365227,0.361119,0.367946
116,010141,0.464495,0.487784,0.456381,0.453873
117,010142,0.318521,0.33902,0.330108,0.335671
118,010143,0.323276,0.383537,0.361284,0.34607
119,010144,0.357617,0.392653,0.379916,0.36517
120,010145,0.40392,0.436731,0.400327,0.427296
121,010146,0.561676,0.582786,0.571493,0.574083
122,010147,0.333241,0.367328,0.331426,0.325606
123,010149,0.549699,0.581834,0.551772,0.529361
124,010151,0.464736,0.499715,0.490363,0.477605
125,010152,0.628134,0.649754,0.627902,0.639845
126,010154,0.445262,0.483946,0.421773,0.462585
127,010155,0.502458,0.524772,0.516745,0.493579
128,010157,0.402191,0.437714,0.397002,0.395767
129,010158,0.386503,0.439152,0.401035,0.408241
130,010159,0.368127,0.377186,0.349565,0.344498
131,010161,0.301157,0.318127,0.313451,0.318661
132,010162,0.323373,0.357667,0.341587,0.362198
133,010163,0.556955,0.641262,0.590941,0.569361
134,010164,0.548505,0.613327,0.564667,0.57248
135,010165,0.424291,0.391127,0.401682,0.430544
136,010166,0.366278,0.373027,0.38728,0.358934
137,010167,0.365611,0.404081,0.391776,0.359998
138,010168,0.405191,0.425088,0.41938,0.424266
139,010171,0.377477,0.418517,0.390841,0.383763
140,010172,0.404,0.433535,0.441701,0.421846
141,010173,0.304769,0.320327,0.29971,0.298209
142,010174,0.359624,0.354733,0.359524,0.338076
143,010175,0.343095,0.353814,0.366675,0.329461
144,010176,0.427152,0.466105,0.435316,0.453014
145,010178,0.445655,0.488751,0.462284,0.449642
146,010179,0.455852,0.468836,0.445805,0.438479
147,010181,0.385402,0.396691,0.400139,0.395496
148,010182,0.492958,0.48745,0.509028,0.531186
149,010185,0.452084,0.46814,0.480793,0.442121
150,010186,0.358161,0.398185,0.384028,0.355087
151,010187,0.373107,0.389009,0.368567,0.373895
152,010188,0.435034,0.452962,0.447777,0.433837
153,010189,0.260309,0.270707,0.256775,0.257697
154,010190,0.382557,0.449149,0.37652,0.40336
155,010191,0.411949,0.425516,0.415024,0.425661
156,010192,0.37076,0.400813,0.39843,0.39722
157,010194,0.404236,0.393569,0.407665,0.408497
158,010195,0.417112,0.457881,0.435407,0.41904
159,010196,0.392328,0.371784,0.394279,0.356935
160,010198,0.376199,0.407415,0.38155,0.389521
161,010200,0.357679,0.358317,0.344548,0.332271
162,010201,0.27958,0.285415,0.289625,0.295324
163,010203,0.332065,0.383675,0.381223,0.332328
164,010204,0.36497,0.377065,0.365564,0.362918
165,010205,0.367037,0.388206,0.376583,0.425889
166,010206,0.308428,0.356545,0.301864,0.307011
167,010208,0.429528,0.439648,0.453257,0.445938
168,010209,0.34621,0.377801,0.351413,0.363814
169,010210,0.381777,0.404404,0.37624,0.356411
170,010211,0.378934,0.444784,0.382865,0.367244
171,010212,0.273903,0.280592,0.285847,0.267552
172,010213,0.283046,0.293064,0.289846,0.280705
173,010215,0.425239,0.468582,0.460239,0.451381
174,010216,0.390196,0.420442,0.408277,0.396632
175,010217,0.451372,0.435549,0.439049,0.420919
176,010218,0.336669,0.345731,0.34272,0.361916
177,010220,0.403987,0.405905,0.391798,0.402257
178,010221,0.504634,0.518949,0.535436,0.535906
179,010224,0.441754,0.485566,0.450544,0.452014
180,010225,0.273371,0.315384,0.28192,0.271363
181,010226,0.435039,0.462434,0.458337,0.443055
182,010227,0.273962,0.279975,0.266238,0.268669
183,010228,0.305902,0.348803,0.320497,0.331478
184,010229,0.340165,0.372823,0.346409,0.359462
185,010230,0.272008,0.306136,0.297771,0.273917
186,010231,0.318034,0.354669,0.323442,0.33688
187,010232,0.266779,0.324753,0.297014,0.275245
188,010233,0.303097,0.341503,0.329112,0.34135
